Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,Absolute target achieved,Base gini imputed,Share of final consumption among GDP imputed
SHAPE_Gini,service,AGO,Gini,NA,48.238605,47.206298853,46.196084057545804,45.20748785871432,44.24004761853784,43.29331059950113,42.3668337526718,41.46018351036463,40.57293558324283,39.70467476176143,38.85499472185974,38.02349783481194,37.20979498114696,36.41350536855042,35.634256353663446,34.87168326769505,34.12542924576638,33.39514505990697,32.680488955624966,31.981126491974596,31.296730385046338,30.62698035480635,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE,FALSE
SHAPE_Gini,society,AGO,Gini,NA,48.238605,47.042287595999994,45.875638863619194,44.737923019801435,43.628422528910356,42.54643765019338,41.491285996468584,40.462302103756166,39.45883701158301,38.48025785369575,37.525947458924094,36.59530396194277,35.68774042368659,34.802684461179155,33.93957788654192,33.09787635495567,32.277049021352774,31.47657820562322,30.695959066123763,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE,FALSE
SHAPE_Gini,innovation,ATG,Gini,NA,48.537525,47.683264560000005,46.84403910374401,46.01958401551811,45.209639336844994,44.413949684516524,43.63226417006904,42.864336320675825,42.109924001431935,41.36878933900674,40.64069864664022,39.92542235045936,39.222734917091266,38.53241478255046,37.85424428237758,37.188009583007734,36.5335006143468,35.8905110035343,35.2588380098721,34.63828246089835,34.02864868958654,33.42974447264982,32.84138096993119,32.2633726648604,31.695537305958858,31.137695849373983,30.589672402425002,30.051294168142324,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,TRUE,FALSE
SHAPE_Gini,service,ATG,Gini,NA,48.537525,47.498821965000005,46.482347174949005,45.4876249454051,44.51418977157343,43.56158611046176,42.629368167697876,41.717099688909144,40.82435375556649,39.950712585197365,39.09576733587414,38.25911791488644,37.44037279150787,36.6391488137696,35.855071029154935,35.08777250913102,34.33689417743562,33.6020846420385,32.883000030698874,32.17930383004192,31.49066672807902,30.816766460098133,30.15728765785203,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,TRUE,FALSE
SHAPE_Gini,society,ATG,Gini,NA,48.537525,47.33379438,46.159916279376,45.01515035564747,43.89877462682741,42.81008501608209,41.748394907683256,40.71303471397271,39.70335145306618,38.71870833703014,37.75848437027179,36.822073957889046,35.90888652373339,35.0183461379448,34.14989115372378,33.302973853111425,32.47706010155426,31.671629011035712,30.88617261156202,30.120195530795286,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,TRUE,FALSE
SHAPE_Gini,innovation,ARG,Gini,NA,42.622677,41.872517884800004,41.13556157002753,40.41157568639504,39.70033195431449,39.00160611191856,38.315177844348796,37.640830714288256,36.978352093716786,36.32753309686738,35.68816851436251,35.06005674850974,34.44299974973596,33.83680295414061,33.241275222147735,32.65622877823794,32.08147915174095,31.516845118670318,30.96214864458172,30.417214828437082,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE,FALSE
SHAPE_Gini,service,ARG,Gini,NA,42.622677,41.7105517122,40.81794590555892,39.94444186317997,39.08963080730791,38.25311270803153,37.43449609607965,36.63339787962355,35.849443164999606,35.082265081268616,34.331504608529464,33.59681040990694,32.87783866713493,32.174252919658244,31.48572390717756,30.811929415563956,30.152554126070893,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE,FALSE
SHAPE_Gini,society,ARG,Gini,NA,42.622677,41.565634610400004,40.53480687206208,39.52954366163494,38.54921097882639,37.5931905465515,36.66087942099702,35.75168961135629,34.86504770899465,34.00039452581158,33.157184741571456,32.33488655998048,31.532981373292962,30.750963435235292,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE,FALSE
SHAPE_Gini,innovation,ARM,Gini,NA,31.289574000000002,30.738877497600004,30.197873253642246,29.66639068437814,29.14426220833309,28.63132319346643,28.12741190526142,27.63236945572882,27.146039753307996,26.668269453649778,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,TRUE,FALSE,FALSE
SHAPE_Gini,service,ARM,Gini,NA,31.289574000000002,30.6199771164,29.964709606109043,29.323464820538312,28.69594267337879,28.081849500168488,27.48089792086488,26.892806705358375,26.317300641863707,25.754110408127822,25.202972445393886,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,24.914297109907125,TRUE,FALSE,FALSE
